Fecha,AMZN_Close,AMZN_Volume,AMD_Close,AMD_Volume,AAPL_Close,AAPL_Volume,ASML_Close,ASML_Volume,BRKb_Close,BRKb_Volume,KO_Close,KO_Volume,JPM_Close,JPM_Volume,MA_Close,MA_Volume,META_Close,META_Volume,MSFT_Close,MSFT_Volume,NESN_Close,NESN_Volume,NVDA_Close,NVDA_Volume,PG_Close,PG_Volume,PM_Close,PM_Volume,TSM_Close,TSM_Volume,NNND_Close,NNND_Volume,TSLA_Close,TSLA_Volume,TM_Close,TM_Volume,V_Close,V_Volume,WMT_Close,WMT_Volume
2024-11-25,201.45,40690000.0,141.13,30920000.0,232.87,90150000.0,684.47,1510000.0,477.43,5250000.0,,,250.29,10300000.0,526.6,4500000.0,565.11,13600000.0,418.79,27690000.0,75.96,8320000.0,136.02,344940000.0,177.39,19360000.0,130.71,4360000.0,185.08,14380000.0,395.2,27890000.0,338.59,95890000.0,175.83,347930.0,313.19,14190000.0,89.5,25080000.0
2024-11-26,207.86,41670000.0,137.72,32090000.000000004,235.06,45990000.0,671.97,1420000.0,478.56,3330000.0,,,249.97,6210000.0,528.48,2330000.0,573.54,10360000.0,427.99,23460000.0,75.84,4670000.0,136.92,190290000.0,179.31,6280000.0,132.28,3460000.0,183.84,10190000.0,393.8,16940000.0,338.23,62300000.0,172.52,410690.0,311.82,7070000.0,91.31,16660000.0
2024-11-27,205.74,28060000.0,136.24,30180000.0,234.93,33500000.0,670.48,1230000.0,483.08,5360000.0,,,249.79,5470000.0,532.38,2089999.9999999998,569.2,7200000.0,422.99,18330000.0,76.36,4110000.0000000005,135.34,226370000.0,179.36,5520000.0,131.82,4050000.0,181.19,9900000.0,402.8,16690000.000000002,332.89,57900000.0,169.72,478540.0,314.7,5200000.0,91.88,14360000.0
2024-11-29,207.89,24890000.0,137.18,16090000.0,237.33,28480000.0,686.61,1710000.0,483.02,2970000.0,,,249.72,5490000.0,532.94,1760000.0,574.32,7130000.0,423.46,16270000.0,76.48,4560000.0,138.25,141860000.0,179.26,3820000.0,133.06,3260000.0,184.66,8050000.000000001,398.0,15630000.0,345.16,37170000.0,170.63,247720.0,315.08,3850000.0,92.5,11040000.0
2024-12-02,210.71,39520000.0,142.06,33100000.0,239.59,48140000.0,711.47,2330000.0,477.33,5030000.0,,,246.25,8900000.0,531.36,2360000.0,592.83,12520000.0,430.98,20210000.0,76.6,3790000.0,138.63,171680000.0,179.7,5730000.0,131.02,4139999.9999999995,194.4,16649999.999999998,399.8,13330000.0,357.09,77990000.0,175.81,634890.0,316.65,5600000.0,92.64,17170000.0
2024-12-03,213.44,32210000.0,141.98,22670000.0,242.65,38860000.0,718.06,1650000.0,470.19,4930000.0,,,244.82,6660000.0,526.18,2320000.0,613.65,14910000.0,431.2,18300000.0,76.6,4440000.0,140.26,164410000.0,175.42,8130000.000000001,129.69,4740000.0,198.89,11220000.0,404.4,18360000.0,351.42,58270000.0,176.0,412180.0,313.01,5010000.0,93.51,17780000.0
2024-12-04,218.16,48750000.0,143.99,25940000.0,243.01,44380000.0,719.92,1530000.0,468.32,3940000.0,,,243.4,7350000.0,521.14,2630000.0,613.78,14700000.0,437.42,26010000.0,76.36,3910000.0,145.14,231220000.0,175.11,6820000.0,130.48,4660000.0,200.69,12760000.0,403.2,14050000.0,357.93,50810000.0,174.78,400550.0,309.9,5980000.0,94.45,17310000.0
2024-12-05,220.55,41140000.0,141.36,29580000.0,243.04,40030000.0,711.5,1800000.0,470.57,3320000.0,,,245.48,6570000.0,524.77,2540000.0,608.93,8080000.0,442.62,21700000.0,75.96,4010000.0,145.06,172620000.0,176.03,5020000.0,132.49,4190000.0000000005,204.3,12480000.0,405.2,13310000.0,369.49,81400000.0,174.4,405530.0,309.08,5200000.0,95.3,21930000.0
2024-12-06,227.03,44180000.0,138.59,33580000.0,242.84,36870000.0,708.98,1220000.0,470.5,3270000.0,,,247.36,5520000.0,528.57,2120000.0,623.77,16940000.0,443.57,18820000.0,75.76,4740000.0,142.44,188510000.0,173.82,5740000.0,130.56,4210000.0,203.02,9670000.0,412.6,27710000.0,389.22,81460000.0,175.95,290720.0,311.01,4300000.0,95.7,18800000.0
2024-12-09,226.09,46820000.0,130.87,57060000.0,246.75,44650000.0,706.52,1270000.0,463.87,3750000.0,,,243.81,7080000.0,522.82,2940000.0,613.57,11430000.0,446.02,19140000.0,75.6,4330000.0,138.81,189310000.0,170.79,7160000.0,128.71,4760000.0,199.17,9700000.0,418.8,22460000.0,389.79,96360000.0,177.01,375990.0,308.3,5790000.0,93.83,20930000.0
2024-12-10,225.04,31200000.0,127.74,38910000.0,247.77,36910000.0,705.27,1210000.0,462.49,3650000.0,,,242.86,9110000.0,529.01,2000000.0,619.32,10940000.0,443.33,18470000.0,74.46,6180000.0,135.07,210020000.0,172.28,6220000.0,128.98,3790000.0,191.94,15310000.0,411.2,30280000.0,400.99,97560000.0,175.71,237130.0,312.38,4540000.0,94.55,13160000.0
2024-12-11,230.26,35390000.0,130.15,45590000.0,246.49,45210000.0,714.43,1220000.0,461.39,3880000.0,,,243.53,7880000.0,534.45,2180000.0,632.68,10840000.0,448.99,19200000.0,74.82,5480000.0,139.31,184900000.0,170.63,5240000.0,126.82,10140000.0,194.6,9030000.0,409.8,13100000.0,424.77,104290000.0,178.15,290340.0,313.79,4320000.0,94.96,19680000.0
2024-12-12,228.97,28200000.0,130.6,34270000.0,247.96,32780000.0,713.1,868710.0,458.63,2570000.0,,,241.53,6110000.0,532.41,1860000.0,630.79,7470000.0,449.56,20830000.0,74.9,5620000.0,137.34,159210000.0,170.85,4070000.0000000005,127.0,5140000.0,191.46,7940000.0,415.6,23410000.0,418.1,87750000.0,176.9,214100.0,314.23,3220000.0,94.09,14300000.0
2024-12-13,227.46,28770000.0,126.91,67540000.0,248.13,33159999.999999996,718.58,1460000.0,457.9,3470000.0,,,239.94,10390000.0,529.0,1610000.0,620.35,8450000.0,447.27,20180000.0,75.18,5490000.0,134.25,231520000.0,171.06,3880000.0,126.62,3230000.0,200.99,19480000.0,409.8,16300000.0,436.23,89000000.0,175.86,226010.0,314.74,4680000.0,94.25,11500000.0
2024-12-16,232.93,37550000.0,126.69,42090000.0,251.04,51690000.0,722.38,1540000.0,455.2,4510000.0,,,239.58,9030000.0,530.31,2920000.0,624.24,10890000.0,451.59,23600000.0,74.46,5050000.0,132.0,237950000.0,171.14,5940000.0,125.94,5440000.0,202.22,15140000.0,405.6,14060000.0,463.02,114080000.0,174.25,327360.0,315.89,6560000.0,94.87,16739999.999999998
2024-12-17,231.15,35950000.0,125.02,43310000.0,253.48,51360000.0,735.19,1750000.0,455.66,5060000.0,,,238.36,8080000.0,531.01,4059999.9999999995,619.44,12900000.0,454.46,22730000.0,75.22,5810000.0,130.39,259410000.00000003,170.33,6070000.0,126.04,5280000.0,200.66,11170000.0,402.6,16780000.0,479.86,131220000.0,173.28,420960.0,318.3,8840000.0,95.42,23560000.0
2024-12-18,220.52,43280000.0,121.41,49720000.0,248.05,56770000.0,719.49,2260000.0,446.59,4360000.0,,,230.37,11320000.0,519.96,3190000.0,597.19,17080000.0,437.39,24440000.0,74.1,6500000.0,128.91,277440000.0,169.08,7520000.0,124.55,4720000.0,195.56,14720000.0,406.0,14910000.0,440.13,149340000.0,173.62,457920.0,309.78,10480000.0,93.55,24670000.0
2024-12-19,223.29,39920000.0,118.88,46160000.0,249.79,60880000.0,710.26,1620000.0,449.34,4650000.0,,,232.96,11790000.0,523.28,3050000.0,595.57,14960000.0,437.03,22960000.0,74.2,5030000.0,130.68,209720000.0,169.19,8590000.0,122.17,6990000.0,194.64,10550000.0,415.2,34670000.0,436.17,118570000.0,174.21,405900.0,314.88,8320000.0,93.4,16610000.0
2024-12-20,224.92,88280000.0,119.21,53590000.0,254.49,147500000.0,705.68,2700000.0,453.2,12940000.0,,,237.6,32350000.0,528.03,7320000.0,585.25,48990000.0,436.6,64260000.00000001,73.98,13550000.0,134.7,306530000.0,168.06,22000000.0,124.22,10270000.0,197.21,16170000.000000002,426.4,44830000.0,421.06,132220000.0,178.17,425690.0,317.71,24390000.0,92.24,49350000.0
2024-12-23,225.06,28070000.0,124.6,47780000.0,255.27,40860000.0,721.04,1230000.0,454.35,3840000.0,,,238.39,8610000.0,528.96,2270000.0,599.85,10210000.0,435.25,19150000.0,74.08,2870000.0,139.67,176050000.0,168.11,6980000.0,123.78,3700000.0,207.36,17850000.0,420.2,20860000.0,430.6,72700000.0,180.45,422690.0,317.22,7980000.0,90.35,26210000.0
2024-12-24,229.05,15010000.0,126.29,24830000.0,258.2,23230000.0,719.71,586830.0,458.66,1760000.0,,,242.31,3730000.0,535.71,955020.0,607.75,4730000.0,439.33,7160000.0,,,140.22,105160000.0,168.94,2460000.0,122.91,2810000.0,206.33,7630000.0,420.0,7870000.0,462.28,59550000.0,181.43,168580.0,320.65,2680000.0,92.68,8990000.0
